Station_Name,Province,City,Station_Id_C,V71001,GroPer_Name_Ten,Year_Crop,Mon_Crop,Day_Crop,GroPer_ANOM
湖口,江西省,九江市,58510,10603,61,2010,1,20,999999
宜丰,江西省,宜春市,57696,10603,61,2010,1,20,4
房县,湖北省,十堰市,57259,10302,1,2010,1,20,999999
景洪,云南省,西双版纳傣族自治州,56959,10002,51,2010,1,20,999999
昆明,云南省,昆明市,56778,10907,71,2010,1,20,999999
丘北,云南省,文山壮族苗族自治州,56889,10302,61,2010,1,20,999999
玉溪,云南省,玉溪市,56875,10303,62,2010,1,22,999999
湖口,江西省,九江市,58510,10603,61,2010,1,22,999999
合川,重庆市,市辖区,57512,10303,61,2010,1,22,999999
景洪,云南省,西双版纳傣族自治州,56959,10002,51,2010,1,22,999999
思茅,云南省,普洱市,56964,10105,11,2010,1,22,11
丘北,云南省,文山壮族苗族自治州,56889,10302,61,2010,1,22,999999
大理,云南省,大理白族自治州,56751,10906,21,2010,1,22,999999
宜城,湖北省,襄阳市,57370,10603,61,2010,1,24,999999
玉溪,云南省,玉溪市,56875,10303,62,2010,1,24,999999
玉溪,云南省,玉溪市,56875,10603,73,2010,1,24,999999
湖口,江西省,九江市,58510,10603,61,2010,1,24,999999
景洪,云南省,西双版纳傣族自治州,56959,10002,51,2010,1,24,999999
保山,云南省,保山市,56748,10302,62,2010,1,24,999999
丘北,云南省,文山壮族苗族自治州,56889,10302,61,2010,1,24,5
凤阳,安徽省,滁州市,58222,10302,1,2010,1,25,999999
房县,湖北省,十堰市,57259,10302,1,2010,1,25,999999
元江,云南省,玉溪市,56966,10205,22,2010,1,25,999999
大理,云南省,大理白族自治州,56751,10907,81,2010,1,25,999999
宜城,湖北省,襄阳市,57370,10603,61,2010,1,26,4
湖口,江西省,九江市,58510,10603,61,2010,1,26,999999
余庆,贵州省,遵义市,57729,10603,61,2010,1,26,999999
宜丰,江西省,宜春市,57696,10603,71,2010,1,26,4
宁都,江西省,赣州市,58806,10603,61,2010,1,26,999999
景洪,云南省,西双版纳傣族自治州,56959,10002,51,2010,1,26,999999
保山,云南省,保山市,56748,10302,62,2010,1,26,999999
丘北,云南省,文山壮族苗族自治州,56889,10302,61,2010,1,26,999999
文山,云南省,文山壮族苗族自治州,56994,10301,62,2010,1,27,999999
元江,云南省,玉溪市,56966,10205,22,2010,1,27,999999
大理,云南省,大理白族自治州,56751,10907,81,2010,1,27,999999
洪湖,湖北省,荆州市,57581,10601,61,2010,1,28,-3
宜城,湖北省,襄阳市,57370,10603,61,2010,1,28,999999
余庆,贵州省,遵义市,57729,10603,61,2010,1,28,999999
宜丰,江西省,宜春市,57696,10603,71,2010,1,28,4
宁都,江西省,赣州市,58806,10603,61,2010,1,28,999999
宁都,江西省,赣州市,58806,10603,71,2010,1,28,999999
景洪,云南省,西双版纳傣族自治州,56959,10002,51,2010,1,28,999999
保山,云南省,保山市,56748,10302,62,2010,1,28,999999
文山,云南省,文山壮族苗族自治州,56994,10301,62,2010,1,28,999999
丘北,云南省,文山壮族苗族自治州,56889,10302,61,2010,1,28,2
思茅,云南省,普洱市,56964,10105,21,2010,1,29,-10
文山,云南省,文山壮族苗族自治州,56994,10301,62,2010,1,29,999999
大理,云南省,大理白族自治州,56751,10906,51,2010,1,29,999999
元江,云南省,玉溪市,56966,10205,22,2010,1,29,999999
大理,云南省,大理白族自治州,56751,10907,81,2010,1,29,999999
洪湖,湖北省,荆州市,57581,10601,71,2010,1,30,-1
宜城,湖北省,襄阳市,57370,10603,61,2010,1,30,2
余庆,贵州省,遵义市,57729,10603,61,2010,1,30,999999
宜丰,江西省,宜春市,57696,10603,71,2010,1,30,4
宁都,江西省,赣州市,58806,10603,61,2010,1,30,999999
宁都,江西省,赣州市,58806,10603,71,2010,1,30,999999
景洪,云南省,西双版纳傣族自治州,56959,10002,51,2010,1,30,999999
